11,1,2013-06-20T10:01:02,RecommendationClick
21,1,2013-06-20T10:02:02,RecommendationClick
21,5,2013-06-20T10:03:02,RecommendationClick
31,2,2013-06-20T10:04:02,RecommendationClick
31,3,2013-06-20T10:05:02,RecommendationClick
41,1,2013-06-20T10:06:02,RecommendationClick
41,5,2013-06-20T10:07:02,RecommendationClick
21,4,2013-06-20T10:08:02,RecommendationClick
11,1,2013-06-20T10:01:02,RecommendationClick
21,1,2013-06-20T10:02:02,RecommendationClick
21,5,2013-06-20T10:03:02,RecommendationClick
31,2,2013-06-20T10:04:02,RecommendationClick
31,3,2013-06-20T10:05:02,RecommendationClick
41,1,2013-06-20T10:06:02,RecommendationClick
41,5,2013-06-20T10:07:02,RecommendationClick
21,4,2013-06-20T10:08:02,RecommendationClick
11,1,2013-06-20T10:01:02,RecommendationClick
21,1,2013-06-20T10:02:02,RecommendationClick
21,5,2013-06-20T10:03:02,RecommendationClick
31,2,2013-06-20T10:04:02,RecommendationClick
31,3,2013-06-20T10:05:02,RecommendationClick
41,1,2013-06-20T10:06:02,RecommendationClick
41,5,2013-06-20T10:07:02,RecommendationClick
21,4,2013-06-20T10:08:02,RecommendationClick
